,survey_Never or less than once a year,survey_1 to 3 times per year,survey_4 to 11 times per year,Survey_12 or more times per year,Survey_Did not report,Survey_Total,Total Church goers ,POPEST2024
US,134852962,33671409,16726365,59099485,11961339,256311560,109497259,340110988
AL,1631044,571247,289081,1222501,157162,3871035,2082829,5157699
AK,347657,50488,13677,101347,18299,531468,165512,740133
AZ,3242224,635788,316755,1327005,250342,5772114,2279548,7582384
AR,1016006,277466,133797,750081,126139,2303488,1161344,3088354
CA,15574778,4500364,2334014,5559201,1762374,29730731,12393579,39431263
CO,2891431,583960,209889,717659,187663,4590602,1511508,5957493
CT,1667411,389796,131763,511044,107687,2807701,1032603,3675069
DE,427006,109131,34203,194057,45055,809451,337391,1051917
DC,315744,85132,28420,79784,13714,522794,193336,702250
FL,9111014,2652616,1064046,4407434,875934,18111045,8124096,23372215
GA,3216383,1520964,568582,2545889,513553,8365370,4635435,11180878
HI,684564,129257,45854,212571,31243,1103489,387682,1446146
ID,808331,116707,43881,449356,58365,1476639,609944,2001619
IL,5147400,1228503,625973,2024082,564593,9590552,3878558,12710158
IN,2702264,538379,329783,1287823,280985,5139235,2155985,6924275
IA,1234343,345504,102171,589440,123789,2395246,1037115,3241488
KS,1202631,227841,145099,511331,84960,2171862,884271,2970606
KY,1624554,418025,181062,1049232,136854,3409727,1648319,4588372
LA,1406971,477983,241153,1022250,236232,3384589,1741386,4597740
ME,760483,126266,64821,119319,44253,1115142,310406,1405012
MD,2393041,711813,298385,1073830,243527,4720596,2084028,6263220
MA,3324085,739550,287966,866544,236963,5455109,1894060,7136171
MI,4444879,873130,510554,1628104,285155,7741821,3011788,10140459
MN,2367789,609915,265784,898508,187321,4329317,1774207,5793151
MS,772809,286957,212619,794190,110503,2177078,1293766,2943045
MO,2550231,580498,234919,1196023,133481,4695151,2011440,6245466
MT,558649,57148,37246,180538,48741,882322,274932,1137233
NE,761355,200732,80783,348342,72572,1463784,629857,2005465
NV,1427043,358843,192037,404790,118231,2500943,955670,3267467
NH,815332,132831,33408,102384,32498,1116453,268623,1409032
NJ,3891940,1009675,373518,1578025,304223,7157381,2961218,9500851
NM,835714,258168,83906,355008,99823,1632619,697082,2130256
NY,8485326,1713452,1033137,3034821,727811,14994547,5781410,19867248
NC,4211271,943620,646328,2175298,386236,8362753,3765246,11046024
ND,274412,77498,64279,144277,15616,576083,286054,796568
OH,4928208,1009592,470655,2221070,327102,8956626,3701317,11883304
OK,1472853,413730,248558,693590,181139,3009869,1355878,4095393
OR,2184409,341211,210475,519022,63417,3318534,1070708,4272371
PA,5577143,1107684,642935,2145933,453498,9927192,3896552,13078751
RI,551719,75313,43724,154264,28964,853983,273301,1112308
SC,1746677,623111,250422,1338823,222339,4181371,2212356,5478831
SD,307819,98144,37668,208113,25966,677710,343925,924669
TN,2492702,747967,431133,1547926,267236,5486964,2727026,7227750
TX,10756921,3210871,1978954,5838518,1022506,22807771,11028343,31290831
UT,1228103,181819,72764,929515,66411,2478612,1184098,3503613
VT,359929,55620,13146,64271,17632,510598,133037,648493
VA,3395019,988297,449356,1581884,236097,6650654,3019537,8811195
WA,4028663,651009,240981,1001816,144856,6067326,1893806,7958180
WV,801036,134989,61209,300357,69587,1367178,496555,1769979
WI,2637103,449900,296007,980877,199572,4563459,1726784,5960975
WY,258543,42904,19488,111419,13121,445476,173811,587618
New.York_Metro_Area,7707957,1978512,662194,2969285,744201,14062149,5609991,
Chicago_Metro_Area,3599364,987650,485271,1265063,476403,6813752,2737984,
Dallas_Metro_Area,2848769,782152,711778,1759191,264340,6366230,3253121,
Houston_Metro_Area,2463607,763076,494815,1488407,153718,5363624,2746298,
Washington.DC_Metro_Area,2367133,661340,382040,1044185,145363,4600060,2087565,
Miami_Metro_Area,1982293,853287,427760,1374769,414199,5052309,2655816,
Philadelphia_Metro_Area,2972823,662873,445549,986560,309809,5377614,2094982,
Atlanta_Metro_Area,1982059,974800,347746,1269225,279884,4853714,2591771,
Phoenix_Metro_Area,2167667,427621,206265,832653,181305,3815511,1466539,
Boston_Metro_Area,2332936,506120,209449,610961,113177,3772644,1326530,
San.Francisco_Metro_Area,1864308,461556,223123,429083,172539,3150610,1113762,
Riverside_Metro_Area,2077761,514334,348385,972965,392632,4306077,1835684,
Detroit_Metro_Area,1974585,323062,293038,712464,114735,3417885,1328564,
Seattle_Metro_Area,2145650,313322,149357,490052,71861,3170243,952731,
